Symbol,Conclusion,Price,Market Cap (Cr),Score (%),market_cap,stock_price,eps,eps_growth_5y,roe,roce,operating_margin,net_margin,gross_margin,de_ratio,interest_coverage,current_ratio,quick_ratio,free_cash_flow,cash_conversion_ratio,revenue,revenue_growth_5y,profit,profit_growth_5y,operating_leverage,pe_ratio,peg_ratio,pb_ratio,ev_ebitda,beta,dividend_yield,liquidity,promoter_holding,promoter_holding_growth,quarterly_revenue,quarterly_profit,quarterly_eps,quarterly_revenue_growth,quarterly_profit_growth,quarterly_eps_growth,quarterly_de_ratio,quarterly_current_ratio,quarterly_interest_coverage,market_cap (s),stock_price (s),eps_growth_5y (s),roe (s),roce (s),operating_margin (s),net_margin (s),de_ratio (s),interest_coverage (s),current_ratio (s),free_cash_flow (s),revenue_growth_5y (s),profit_growth_5y (s),cash_flow_growth (s),pe_ratio (s),peg_ratio (s),pb_ratio (s),ev_ebitda (s),liquidity (s),promoter_holding (s),promoter_holding_growth (s)
GOLDTECH.NS,,59.79,318.2475264,56.19047619,3182475264,59.79,4.3,1.469093166,,,-0.29319,0.1988,0.08298001,7.123,13.0748363,,,,,889000000,0.13425729,99020000,1.691243971,12.59703643,13.904651,0.09464785,2.069861,-38.352,0.434,,38811,58.86,0,"[192370000.0, 288020000.0, 221050000.0, 201910000.0, 178020000.0]","[78340000.0, 7300000.0, -4340000.0, 99340000.0, -3280000.0]","[1.34, -0.13, 2.87, -0.1]","[0.49721890107605127, -0.23251857509895146, -0.08658674508029862, -0.1183200435837749]","[-0.9068164411539443, -1.5945205479452054, -23.889400921658986, -1.0330179182605195]","[-1.0970149253731343, -23.076923076923077, -1.0348432055749128]","[0.07123458889638919, 0.15359099466480794, 0.2312853159989862]",[],"[10.992592592592592, 9.594594594594595, 0.7111111111111111, 31.893506493506493, 0.6045016077170418]",5,5,5,0,0,0,5,0,5,0,0,3,5,0,5,5,3,5,0,5,3
NARMADA.NS,"Narmada Agrobase is a micro-cap stock with strong historical growth and a solid balance sheet in terms of debt and liquidity. However, recent performance has been inconsistent, marked by revenue declines and negative cash flow, despite strong annual profit growth in the last reported fiscal year. These mixed signals, coupled with the inherent risks of small-cap stocks, suggest a cautious approach. ",25,94.8409984,56.19047619,948409984,25,1.08,0.663089498,,,0.11429,0.06343,0.15379,16.943,7.1380788,,,,,656766000,0.233738243,40879000,0.887821086,3.798356119,23.148148,0.34909538,1.1605237,17.058,-0.537,,377265,50.3,0,"[110819000.0, 292957000.0, 138365000.0, 102827000.0, 122617000.0]","[10190000.0, 7780000.0, 10000000.0, 12940000.0, 10159000.0]","[0.27, 0.38, 0.96, 0.75]","[1.6435629269349117, -0.5276951907617842, -0.2568424095688938, 0.19245917900940412]","[-0.23650637880274783, 0.28534704370179953, 0.29400000000000004, -0.2149149922720247]","[0.40740740740740744, 1.526315789473684, -0.21875]","[0.1694336995064986, 0.5598446755572213, 0.5726507863253931]",[],"[6.7654530059271805, 5.35205047318612, 7.731271145480909, 8.460184409052808, 6.481575603557815]",5,5,5,0,0,3,0,0,5,0,0,5,5,0,3,5,5,0,5,5,3
SURANAT&P.NS,,21.29,297.110272,55.23809524,2971102720,21.29,1.78,0.43948133,,,-0.05925,1.5907401,0.99982,3.766,73.0259935,,,,,159209000,-0.185328728,234419000,0.436026126,-2.352717419,11.960675,0.272154337,1.84793,134.224,0.421,,215577,70.93,0.76,"[41436000.0, 47662000.0, 37655000.0, 30122000.0, 43770000.0]","[26780000.0, 186665000.0, 7584000.0, 22421000.0, 17749000.0]","[0.18, 0.04, 0.14, 0.13]","[0.15025581619847483, -0.209957618228358, -0.20005311379630863, 0.4530907642254831]","[5.970313666915609, -0.9593710658130876, 1.9563554852320677, -0.20837607600017838]","[-0.7777777777777778, 2.5000000000000004, -0.07142857142857151]","[0.041105122586428816, 0.05271895860381217, 0.016848196687273182]",[],"[23.173945225758697, 189.24198717948718, 5.553219448094612, 36.51488095238095, 41.16815742397138]",5,5,5,0,0,0,5,0,5,0,0,0,5,0,5,5,3,0,5,5,5
BALAXI.NS,,42.7,235.7360384,54.28571429,2357360384,42.7,3.42,-0.219048722,-0.01242,0.11203,0.21385,-0.00989,0.46671,9.636,10.7695427,3.878,2.177,395724000,,2925612000,0.015476234,250703000,-0.192749145,-12.45452537,12.48538,,1.0172479,12.489,0.594,,55816,65.99,0,"[707421000.0, 762661000.0, 732913000.0, 773823000.0, 656215000.0]","[2901000.0, 86377000.0, 53628000.0, 45894000.0, 64804000.0]","[0.05, 0.97, 0.84, 1.17]","[0.07808645771047229, -0.03900553456909428, 0.05581835770412047, -0.1519830762331954]","[28.77490520510169, -0.3791402803987173, -0.14421570821212804, 0.41203643177757443]","[18.4, -0.134020618556701, 0.3928571428571428]","[0.23054394154044922, 0.1487129646701089, 0.0963633501337628]",[],"[1.897922671702614, 14.135943447525829, 5.40659260872722, 13.33666001330672, 20.88915857605178]",5,5,0,0,3,5,0,0,5,5,5,0,0,0,5,0,5,3,3,5,3
HGM.NS,,73.35,92.6372288,54.28571429,926372288,73.35,4.1,0.251265774,,,0.18249,0.16943,0.24666001,5.841,28.88139535,,,,,224683000,0.307228241,42171000,0.251965884,0.820126053,17.890244,0.71200481,3.840515,11.12,0.029,,5110,50.41,0,"[136090000.0, 55148000.0, 57953000.0, 55834000.0, 55748000.0]","[17270000.0, 13226000.0, 13229000.0, 7954000.0, 7762000.0]","[1.37, 1.05, 0.63, 0.62]","[-0.5947681681240355, 0.050863131935881656, -0.03656411229789658, -0.0015402801160583346]","[-0.23416328894035898, 0.00022682594888845387, -0.3987451810416509, -0.02413879808901187]","[-0.23357664233576647, -0.4, -0.015873015873015928]","[0.05840590252520004, 0.07339508390208857, 0.04586268337849848]",[],"[31.476552598225602, 32.214285714285715, 36.38221153846154, 24.638157894736842, 23.67872340425532]",5,5,5,0,0,3,5,0,5,0,0,5,5,0,3,5,0,3,0,5,3
UYFINCORP.NS,,14.89,283.264896,54.28571429,2832648960,14.89,0.66,0.539268054,,,0.36938,0.12697,0.28336,1.67,,,,,,1108562000,0.098035222,117273000,0.539643214,5.504585037,22.560606,0.418356063,0.8215626,13.604,-0.047,,151821,71.38,0,"[212242000.0, 152759000.0, 148346000.0, 451799000.0, 355659000.0]","[59675000.0, 10914000.0, 20858000.0, 34657000.0, 50846000.0]","[0.31, 0.11, 0.18, 0.27]","[-0.28026026893828737, -0.028888641585765762, 2.045575883407709, -0.21279374235002735]","[-0.8171093422706326, 0.9111233278358073, 0.6615687026560553, 0.4671206394090659]","[-0.6451612903225806, 0.6363636363636362, 0.5000000000000002]","[0.01670021695448324, 0.012597034522121055, 0.0031446708991840523]",[],[],5,5,5,0,0,5,3,0,0,0,0,0,5,0,3,5,5,3,5,5,3
VMSTMT.NS,,75.88,376.6016,54.28571429,3766016000,75.88,3.11,0.289092397,0.25761,0.07069,0.0833,0.01912,0.18038,378.481,2.035619842,1.12,0.209,-1119104128,,7623685000,0.155828248,147370000,0.289092464,1.855199344,24.398714,0.843976328,3.2134838,14.914,,,731677,67.18,,"[2112529000.0, 2082191000.0]","[85764000.0, 36171000.0]",[1.728026],[-0.01436098628705218],[-0.5782496152231706],[],"[3.7848146001325595, 3.77160267796147, 3.329512395398768]",[],"[2.7115846293783457, 1.9492314768676453]",5,5,5,5,0,0,0,0,3,0,0,5,5,0,3,5,0,3,5,5,3
INCREDIBLE.NS,,43.7,208.809216,53.33333333,2088092160,43.7,3.12,0.519241713,,,0.02405,0.01839,0.08405,15.91,5.136039752,,,,,7208762000,0.123810547,124872000,0.519242028,4.193843264,14.006411,0.269747415,1.3836558,8.925,0.221,,7271,74.96,0,"[2197569000.0, 1949539000.0, 1618656000.0, 1811704000.0, 1828863000.0]","[37151000.0, 58407000.0, 30254000.0, 20008000.0, 16203000.0]","[0.8, 0.65, 0.43, 0.35]","[-0.11286562560720503, -0.16972371417037568, 0.11926437735998263, 0.009471193969875946]","[0.5721514898656832, -0.48201414214049687, -0.3386659615257487, -0.19017393042782882]","[-0.1875, -0.3384615384615385, -0.18604651162790697]","[0.15909904551037382, 0.22144161113040006, 0.32584198488307115]",[],"[13.01699854298203, 15.047446646341463, 3.8646352972900093, 2.248533724340176, 3.436003228989147]",5,5,5,0,0,0,0,0,5,0,0,3,5,0,5,5,5,5,0,5,3
NDL.NS,,3.14,454.0365824,53.33333333,4540365824,3.14,2.58,0.702668268,,,0.01985,0.0096,0.105979994,40.208,2.142537151,,,,,34864874000,0.179756678,334803000,-0.209162977,-1.163589466,1.2170544,0.017320469,0.73142326,5.022,0.405,,1453341,51.01,0,"[10476774000.0, 9884614000.0, 9261523000.0, 8502508000.0, 7216229000.0]","[111990000.0, 106313000.0, 65800000.0, 87774000.0, 74915000.0]","[0.78, 0.5, 0.57, 0.52]","[-0.05652121540466559, -0.0630364524097754, -0.08195358366005245, -0.15128230399783216]","[-0.05069202607375656, -0.3810728697337108, 0.333951367781155, -0.14650124182559754]","[-0.35897435897435903, 0.1399999999999999, -0.08771929824561397]","[0.4020813773288237, 0.5119092780954997, 0.5637425331591391]",[],"[2.971621297996328, 3.8123476376581666, 2.001496675987052, 2.206073867360098, 2.179066032620031]",5,5,5,0,0,0,0,0,3,0,0,5,0,0,5,5,5,5,5,5,3
ATAM.NS,,88.64,102.203168,52.38095238,1022031680,88.64,5.77,0.559546143,,,0.15569,0.10764,0.4186,33.14,11.3249697,,,,,604080000,0.439066788,62989000,0.664411626,1.513235899,15.362218,0.274547831,2.7839196,10.779,-0.65,0.96,22499,52.29,0,"[123713000.0, 146167000.0, 173817000.0, 114848000.0, 172023000.0]","[12393000.0, 21305000.0, 15755000.0, 9308000.0, 26845000.0]","[1.08, 1.37, 0.81]","[0.18150073153185198, 0.18916718547962263, -0.3392591058412008, 0.4978319169685148]","[0.7191156297910111, -0.26050222952358604, -0.4092034274833386, 1.8840782122905027]","[0.2685185185185186, -0.4087591240875913]","[0.3314038936111873, 0.41459839907229945]",[],"[7.044890510948905, 13.405697022011221, 9.257087378640776, 13.296442687747035, 22.165002935995304]",5,5,5,0,0,3,3,0,5,0,0,5,5,0,3,5,0,3,0,5,3
VASWANI.NS,,55.25,182.0274944,52.38095238,1820274944,55.25,3.72,0.241070145,,,0.07196,0.026619999,0.21648,113.652,3.058897106,,,,,4116359000,0.032090541,86043000,0.248368172,7.739606976,14.85215,0.616092466,1.2284603,9.338,1.025,,37277,62.06,1.94,"[1142810000.0, 1154023000.0, 1023350000.0, 1021611000.0, 917375000.0]","[54706000.0, 19870000.0, 17698000.0, 23314000.0, 25161000.0]","[1.75, 0.58, 0.78, 0.84]","[0.009811779735914072, -0.11323257855346036, -0.0016993208579665353, -0.10203100788852115]","[-0.6367857273425219, -0.10931051836940109, 0.31732399141145895, 0.07922278459294851]","[-0.6685714285714286, 0.3448275862068968, 0.07692307692307687]","[1.1365157526848482, 0.815637692868357, 0.27027053687319513]",[],"[2.6889778674569644, 2.524247614387081, 2.2495036728211235, 4.1911399503324525, 4.26145230882218]",5,5,5,0,0,0,0,0,5,0,0,0,5,0,5,5,5,5,0,5,5
BALAJEE.NS,,50.1,424.7841024,51.42857143,4247841024,50.1,2.94,0.39285685,,,0.06858,0.042779997,0.32737,60.242,3.420305324,,,,,5673728000,0.089423828,253714000,0.354786196,3.967468223,17.040815,0.433766523,1.4229316,12.631,,,251497,65.42,0,"[1254060000.0, 1256193000.0, 1426633000.0, 1555668000.0, 1435233000.0]","[51382000.0, 56606000.0, 61252000.0, 70897000.0, 64959000.0]","[0.63, 0.72, 1.01, 0.796351]","[0.0017008755561935818, 0.13567978805804515, 0.09044722784346071, -0.0774169038638064]","[0.10166984547117663, 0.08207610500653639, 0.15746424606543452, -0.08375530699465417]","[0.1428571428571428, 0.4027777777777779, -0.2115336633663366]","[0.6897577762113407, 0.7267847125753463, 1.4137414447791512]",[],"[2.5066123925825416, 5.993103448275862, 2.9532314624707015, 3.070906113537118, 3.072999550350922]",5,5,5,0,0,0,0,0,5,0,0,0,5,0,3,5,5,3,5,5,3
DIGIDRIVE.NS,,28.85,110.9831168,51.42857143,1109831168,28.85,1.67,0.30413649,,,-0.03024,0.14173001,0.50450003,0.306,130.5505319,,,,,497846000,0.076879394,79056000,0.304170459,3.956462756,17.27545,0.568016353,0.4042088,176.126,,,29071,58.83,0,"[95900000.0, 104446000.0, 143900000.0, 110900000.0, 138600000.0]","[-1000000.0, 50956000.0, 12000000.0, 2500000.0, 13600000.0]","[-0.03, 0.31, 0.06, 0.35]","[0.08911366006256527, 0.3777454378339047, -0.22932592077831826, 0.24977457168620387]","[-51.956, -0.7645027082188555, -0.7916666666666666, 4.44]","[-11.333333333333334, -0.8064516129032258, 4.833333333333333]","[0.0030794803727267036, 0.0028165007112375532, 0.0004078218549119508]",[],"[-0.5, 261.8015873015873, 62.0, 11.666666666666666]",5,5,5,0,0,0,3,5,5,0,0,0,5,0,3,5,5,0,0,5,3
JAYSREETEA.NS,,93.79,278.4115456,51.42857143,2784115456,93.79,26.88,0.613993736,,,-0.03182,0.1424,0.43080002,100.442,3.056623782,,,,,8098052000,0.07590781,1265037000,0.749532898,9.874252711,3.4892116,0.05682813,0.64624375,19.954,0.133,0.53,61873,50.68,0,"[1898200000.0, 1131852000.0, 2347700000.0, 3013500000.0, 1605000000.0]","[-89800000.0, 314537000.0, 735900000.0, 304500000.0, -89900000.0]","[-3.11, 25.48, 10.54, -3.11]","[-0.403723527552418, 1.0742111159409533, 0.2835967116752567, -0.46739671478347433]","[-4.502639198218263, 1.3396293599799072, -0.5862209539339585, -1.2952380952380953]","[-9.192926045016078, -0.5863422291993721, -1.2950664136622392]","[0.777805774157973, 1.0353460037440112, 1.1126652727479722]",[],"[-0.014689265536723164, 4.612890407692919, 2.8795430944963654, 4.596059113300493, 0.09227467811158799]",5,5,5,0,0,0,3,0,5,0,0,0,5,0,5,5,5,0,3,5,3
KRITIKA.NS,,8.52,226.8705792,51.42857143,2268705792,8.52,0.35,0.363214235,,,0.00961,0.01192,0.94855005,,4.280237557,,,,,7435697000,0.458669155,101348000,0.360316438,0.785569367,24.34286,0.670206662,2.4033852,,-0.105,,187164,63.32,0,"[2068562000.0, 2377338000.0, 1789343000.0, 1586012000.0, 1683005000.0]","[13761000.0, 33976000.0, 21192000.0, 24444000.0, 21737000.0]","[0.05, 0.08, 0.09, 0.08]","[0.14927084612402242, -0.24733336193675448, -0.11363444571555037, 0.06115527499161422]","[1.469006612891505, -0.3762655992465269, 0.1534541336353341, -0.11074292259859275]","[0.5999999999999999, 0.125, -0.11111111111111105]","[0.5426623871869836, 0.5571168706400892, 0.4753850331231051]",[],"[2.851044686594022, 7.2860953651217075, 2.830078750240092, 4.093650937415089, 4.034220532319392]",5,5,5,0,0,0,0,0,5,0,0,5,5,0,3,5,3,0,5,5,3
ASHOKAMET.NS,,17,42.6435264,50.47619048,426435264,17,2.04,0.351865411,,,0.067729995,0.20931,0.2343,12.589,4.935249017,,,,,389626000,-0.165430752,54852000,0.379132168,-2.291787731,8.333333,0.236832969,0.37477952,18.972,0.862,,29393,53.64,0,"[54539000.0, 64904000.0, 68811000.0, 143342000.0, 112569000.0]","[11259000.0, -13136000.0, 17893000.0, 34849000.0, 15246000.0]","[0.45, 0.72, 1.39, 0.61]","[0.1900474889528594, 0.06019659805250832, 1.083126244350467, -0.21468236804286256]","[-2.1667110755839776, -2.362134591961023, 0.9476331526295199, -0.5625125541622429]","[0.5999999999999999, 0.9305555555555556, -0.5611510791366906]","[0.14028937432069913, 0.0947169277719193, 0.1592374536391476]",[],"[3.9228971962616823, -3.467869838665573, 6.136747637311674, 7.748123581776924, 9.515617715617715]",5,5,5,0,0,0,5,0,5,0,0,0,5,0,5,5,5,0,0,5,3
MAHAPEXLTD.NS,,98.2,138.3824128,50.47619048,1383824128,98.2,22.24,1.448782431,,,0.69442004,4.89077,1,,-101.8424658,,,,,13609000,-0.295518515,196596000,1.446850229,-4.895971502,4.4154677,0.030477093,0.2970249,,0.186,,6281,62.54,0,"[531000.0, 2982000.0, 508000.0, 4786000.0, 5333000.0]","[238641000.0, 3628369000.0, -68005000.0, -79688000.0, 121725000.0]","[16.93, -4.83, -5.65, 8.64]","[4.6158192090395485, -0.829644533869886, 8.421259842519685, 0.11429168407856238]","[14.20429850696234, -1.0187425810329656, 0.17179619145651048, -2.5275198273265733]","[-1.2852923803898406, 0.1697722567287785, -2.529203539823009]","[0.0006122742322078906, 0.01409283578488204]",[],[],5,5,5,0,0,5,5,0,0,0,0,0,5,0,5,5,5,0,0,5,3
MAWANASUG.NS,,85.22,336.9086208,50.47619048,3369086208,85.22,25.68,0.610974933,,,-0.019550001,0.068569995,0.20041999,85.205,5.376184032,,,,,14431300000,-0.003952936,1094200000,0.611418477,-154.6745002,3.3185358,0.054315417,0.6776453,6.801,0.34,8.98,31935,63.49,0,"[4005300000.0, 3395000000.0, 3344400000.0, 3825000000.0, 3866900000.0]","[-135400000.0, 616700000.0, 725100000.0, -201900000.0, -45700000.0]","[-3.46, 18.54, -5.16, -1.17]","[-0.1523731056350336, -0.014904270986745183, 0.14370290635091498, 0.010954248366012997]","[-5.554652880354505, 0.17577428247121785, -1.278444352503103, -0.7736503219415553]","[-6.358381502890174, -1.27831715210356, -0.7732558139534884]","[0.8520521212367613, 0.49299697166342205, 1.3848478939157567]",[],"[-0.6431159420289855, 12.76311844077961, 59.20979020979021, -2.0560190703218115, 0.5562356541698547]",5,5,5,0,0,0,0,0,5,0,0,0,5,0,5,5,5,5,0,5,3
